Dream Symbol,Interpretation
Georgia,To dream that you are in the state of Georgia suggests that you are longing for the comfort of home or of more familiar surroundings.
German Shepherd,To see a German Shepherd in your dream highlights your protective instincts and attentiveness to a situation.Â  This is no time for you to be nervous and/or lose control.
Ghost,To see a ghost in your dream represents something that is no longer obtainable or within reach. It indicates that you are feeling disconnected from life and society. Try to figure out what the ghost wants or what it is looking for. The dream may also be a calling for you to move on and abandon your outdated modes of thinking and behavior.
Ghoul,To see a ghoul in your dream suggests that your habits and negative ways are hindering your growth.Â  The dream may also represent a fresh beginning.
Gift,"To dream that you are giving a gift signifies your generosity towards others. Alternatively, you may be trying to express some feeling or have something awkward to say that has to be carefully packaged. If you are showering someone with gifts, then it indicates that you are being overly pushy with your advice. Or that you are trying too hard to be accepted.Â If you are buying or giving someone expensive gifts, then it symbolizes the sacrifices you are making for that person. You want to make them feel important."
Gift Card,To see a gift card in your dream means that there is something you didn't realize you needed or that there is something missing from your life. Ask yourself which store the gift card is for and how it relates to something you may be lacking.
Gills,To dream that you have gills implies that you are ready to confront your true feelings and submerge yourself in your emotions.
Habit,To dream about an old habit or a habit that you recently quit is an expression of your subconscious desires. Your suppressed urges are making themselves known via your dreams.
Hair,"To see hair in your dream signifies sexual virility, seduction, sensuality, vanity, and health.Â It is indicative of your attitudes. If your hair is knotted or tangled, then it is symbolic of uncertainty and confusion in your life. You may be unable to think straight. If you dream that you make a drastic change to your hairstyle, then it means that you are taking a drastic, new approach to some issue in your waking life."
Haircut,"To dream that someone is giving you a haircut suggests that you are experiencing a decreased sense of power. You feel you are being criticized unfairly. Alternatively, your dream haircut symbolizes a fresh start. You are shedding off some unwanted aspect of yourself."
Hairdresser,"To dream that you are a hairdresser suggests that you are imposing your ideas and opinions on others.Â  Perhaps you need to work on your self-image and improve on your image. Alternatively, it refers to your attitude toward your own sexuality."
Hairpiece,To dream that you are wearing a hairpiece indicates some sort of deception. You may be giving off a false impression and passing the views of others as your own.
Half,"To dream about half of something indicates that something in your waking life is incomplete or unresolved. It may also indicate that you are only partially acknowledging your feelings. You or someone else is limiting or restricting you. Alternatively, the dream suggests that you need to be open to compromise and meet halfway."
Halloween,"To dream of Halloween signifies death and the underworld. Halloween also represents the temporary adoption of a new persona where you feel less inhibited and more comfortable to freely express yourself.Â You may also be trying to hide your true self.Â Alternatively, dreaming of Halloween reflects your childhood and the corresponding feelings that you associated with the holiday."
Hallucination,"To have a hallucination in your dream symbolizes an image from your subconscious. They can also represent repressed emotions and feelings that you do not want to confront. Your dream may be telling you to be more alert and to express yourself more clearly. Alternatively, it refers to self-deception. What are you trying to hide?"
Ham,To dream that you are eating ham indicates that you need to preserve your energy.
Hamburger,"To see or eat a hamburger in your dream suggests that you are lacking some emotional, intellectual, or physical component in order to feel whole again. You may be feeling unsatisfied with some situation or relationship. It is also symbolic of your experiences and how you need to learn from them. Look at the big picture."
Hamlet,To see Hamlet in your dream refers to your indecisiveness. You need to make a choice and take action.
Hammock,To see a hammock in your dream implies that you need to take some time out for pleasure and leisurely activity. You need to relax!
Hamster,To see a hamster in your dream represents underdeveloped emotions. You are distancing yourself from others so that you won't end up getting hurt. It may also indicate that issues of sexuality are trivial to you. You are able to separate sex and love.
Hamster Wheel,To see a hamster wheel in your dream implies that your efforts are too insignificant to make a difference. You are going in circles. Or perhaps you feel someone is giving you the runaround.
Hand,"To dream of your hands represent your relationships with those around you and how you connect with the world. Hands serve as a form of communication and can represent authority, hate, protection, justice, etc depending on the gesture. Perhaps you need to lend a helping hand to someone. If someone else is giving you a helping hand, then it implies your need for help. Do not be afraid to ask for assistance or to depend on others from time to time. Moreover, the left hand symbolizes your graciousness and your feminine, receptive qualities, while the right hand symbolizes the masculine and active attributes. The right hand may also be a pun for some decision or something being ""right"". If you dream that your hands are detached or see disembodied hands, then it indicates that you are not getting your point of view across. You are not being understood or someone is not understanding you. The dream may also symbolize feelings of loneliness. If you see disembodied baby hands in your dream, then it points to your maternal eagerness or your desires to feel needed."
Handball,"To watch or play team handball in your dream refers to the importance of teamwork and cooperation in order to achieve the goals in your waking life. The dream is a reminder that you cannot succeed without the assistance of others. Alternatively, the dream may be telling you that you need to be more hands on in some project."
Handcuffs,"To dream that you are in handcuffs suggest that something or someone is holding back your success. Opportunities are shut off to you. You are experiencing a loss of power and effectiveness.Â Alternatively, your own fears and doubts may be holding you back."
Handicap,"To dream that you or someone is handicap symbolizes your own weakness and neediness. You are being confronted with many challenges and need to maximize your full potential. Consider which part of your body is handicap and its symbolism. Alternatively, it suggests that you are becoming too arrogant for your own good. You need to be more humble."
Handprint,To make a handprint in your dream indicates your desire to do something important and leave an impression on others.
Handshake,"To dream that you are shaking hands with someone symbolizes either a new beginning or an ending to a situation.Â  You have reached an agreement or a decision to a problem.Â  The dream may also mean that you are welcoming something new into your life. In particular, if you are shaking hands with someone famous or someone important, then it suggests that you are well regarded by others."
Handsome,"To dream that you are handsome refers to your confidence and self-esteem level. Alternatively, to dream about your looks points to your concerns about how others perceive you."
Handstand,"To dream that you are doing a handstand refers to ability to balance many responsibilities at the same time. Alternatively, the dream means that you feel that you need to go out of your way to please others."
Handwriting,"To see or dream about your handwriting represents your self-expression and creativity. Consider the symbolism of what you are handwriting and how it relates to your waking life.Â The dream may be trying to warn you against something as in ""the handwriting is on the wall""."
Hangar,"To see an airplane hangar in your dream represents your goals and aspirations. If the hangar is empty, then it means that you are feeling unmotivated. You have lost your way."
Hanger,To see a hanger in your dream suggests that you are getting the hang of some situation or some task.Â  Or it may mean that you are just hanging in there. You need more motivation and encouragement.
Hanging,To watch a hanging in your dream represents feelings of insecurity. The hanging may symbolize aspects of yourself that you want to eliminate.
Hangman,"To play hangman in your dream represents a message from your subconscious. Alternatively, playing hangman may be analogous to feelings of guilt."
Happy,To dream that you are happy may be a compensatory dream and is often a dream of the contrary. You may be trying to compensate for the sadness or stress in your waking life.
Harass,To dream that you are being harassed indicates that you are feeling powerless and helpless in some waking situation. You are under tremendous emotional stress which you need to confront. Consider the significance of who is harassing you and how you felt.
Harbor,"ToÂ see a harbor in your dream signifies shelter from a stormy relationship or chaotic situation. You may be seeking refuge untilÂ  you can recollect your thoughts and prepare for the challenges ahead. The dream may also be a metaphor suggesting that you are ""harboring"" some ill feelings."
Harem,To dream that your are part of a harem signifies your repressed sexual energy and inhibitions. You need to be open to sexual experimentation.
Harley Quinn,"To see Harley Quinn in your dream points to an unhealthy, abusive relationship. Alternatively, the dream may indicate that you are blind to something that everyone else is clearly seeing. You are living in your own reality."
Harmonica,ToÂ see or hear a harmonica in your dream suggests that you need to let more joy and pleasure come into your life. It is also symbolic of a harmonious situation.
Harpoon,To see or use a harpoon in your dream represents your desire to nail down a solution to a waking problem. You are ready to explore and confront certain emotions. A harpoon is also seen as a phallic symbol and thus represent all things masculine.
Harry Potter,"To see Harry Potter in your dream indicates that you have the potential to accomplish amazing things in the face of insurmountable hardships. Harry Potter reflects a more modern, atypical version of a movie hero with glasses and a quiet yet immensely strong personality."
Hatch,To see eggs hatching in your dream indicates that you will realize your goals. It also means that your ideas are coming to fruition.
Hate,"To dream about hate indicates repressed aggression and your fear of confrontations. On the other hand, you may forcing your views and opinions onto others. Consider the symbolism of other elements in the dream to find out what is it that you really hate."
Haunted,To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
Haunted House,"To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings."
Hawk,"To see a hawk in your dream denotes that suspicions are lurking around you and your activities. You need to proceed with caution. Alternatively, a hawk symbolizes insight. Consider the phrase ""hawk's eye"" to mean that you need to keep a close watch on someone or some situation."
Hay,"To see hay in your dream represents the necessity of hard work; nothing in life comes easy. You may also be feeling hopeless about a situation.Â  Alternatively, hay indicates the need to nurture your maternal instincts, masculine energy, and/or your sexual urges. Consider also the symbol as a pun on ""hey"". Your dream may be trying to call your attention to something."
Head,"To see a head in your dream signifies wisdom, intellect, understanding and rationality. It may also represent your accomplishments, self-image, and perception of the world. The dream may also be metaphor to indicate that you are ""ahead"" in some situation or that you need to get ahead."
Headache,To dream that you have a headache suggests that you are heading in the wrong direction. You are ignoring your intellect and rational thinking. You need to utilize your mind and not let your emotions get out of control.
Headboard,"To see a headboard in your dream suggests that you are being shielded from some information. Alternatively, the headboard may be a play on words and indicates that you are mentally bored or uninterested in something."
Headless,"To see a headless body walking around or dream that you are headless means that you are not using your head. You are not thinking clearly. Or the dream suggests that you have literally lost your mind. Consider how the body is dressed or the condition of the body. If the body is naked, then it implies that you are being too gullible or too trusting of others. If part of the body is burnt or wounded, then it indicates that your mindlessness have put you in harm's way."
Headphones,"To dream that you are wearing headphones indicate that you are the only one getting the message. Furthermore, it means that you are in tune with your intuition."
Headstone,To see a headstone in your dream represents a forgotten or buried aspect of yourself which you need to acknowledge. Consider also the message on the headstone. It may indicate a statement about your life and its condition.
Hear,To dream that no one hears you refers to a waking situation where you feel that no one is listening to you or paying attention to what you are saying. You feel you are being overlooked or overshadowed.
Hearse,To see a hearse in your dream indicates that you are moving into a new phase. You need to carry away and let go of some unfinished issues. Start taking action and making the necessary changes that will carry you into a new transitional level.
Ice Cream,"To see or eat ice cream in your dream denotes good luck, pleasure, success in love and satisfaction with your life. You need to savor the moment and enjoy it.Â  Alternatively, the dream may suggest that you need to cool off and not let your temper get out of hand. On the other hand, the ice cream may be a pun on ""I scream"". Perhaps there is something that you need to let out."
Ice Maker,"To see an ice maker in your dream indicates that you are shutting others out and closing off your emotions. If the ice maker is broken, then it means that you are feeling weary."
Icing,"To put icing on a cake or pastry indicates that you are behaving superficially. Something may look good on the exterior, but prove empty or unsubstantial on the inside. In other words, looks can be deceiving. Alternatively, the dream represents the finishing touches in your life that brings about fulfillment and completion."
Identity Theft,"To dream that you are a victim of identity theft means that someone in your waking life is taking credit for your work.Â  Alternatively, you may be having this dream because you are experiencing an identity crisis. You feel lost and not sure where you are headed."
Ignition,"To turn the ignition in your dream suggests that you are set to move forward toward your goals. You are ready to grow.Â  If you are having problems with the ignition, then it indicates that you are experiencing problems with how to get started with some project or goal. Alternatively, the dream may be a metaphor for something that you need to ignite in your life."
Ignorance,To dream that you or someone is ignorant means that you are overly critical of your achievements. It also signifies low self-esteem.
Ignore,"To dream that you are ignoring someone or being ignored represents some aspect of yourself which you are not paying enough attention to. Perhaps you are overlooking something. Alternatively, it may reflect your real waking experiences of being ignored by that person."
Illness,"To dream that you have an illness denotes despair, unpleasant changes, or some emotional breakdown. The illness may be symbolic of your inability to cope with a situation. You see that being ill is an easy way out. On a more direct note, this dream may signal you to pay closer attention to your health especially to the areas of body revealed in the dream."
Immigrant,"If you are not an immigrant and dream that you or someone is an immigrant, then it implies that you are acknowledging an aspect of yourself that was unexpressed. If you are helping an illegal immigrant in your dream, then it means acceptance.Â  Alternatively, the dream may reflect your waking experience as an immigrant. Or it may refer to the experiences of your parents or ancestors. Consider how you or they feel as an immigrant and what they endured or went through."
Immolation,To see someone being immolated in your dream indicates that a major transformation is taking place in your life.
Immortal,"To dream that you are immortal represents longevity, continuity, or fearlessness. You feel that you are better than others. Alternatively, it signifies reluctance in starting over or in taking a new direction. You are adverse to change."
Immunity,To dream that you are immune to some disease or virus means that you are feeling empowered and undefeatable. You do not let negativity phase you or bring your down.
Impale,"To dream that you are being impaled suggests a forceful, violent or passionate release of your repressed emotions. You feel that you have been freed from the physical limitations of your own psyche. You are more aggressive and direct about your pent up emotions. Consider which part of the body is being impaled and what that part of the body symbolizes."
Implants,"To dream that you get or have breast implants refer to your body image issues. You are feeling insecure and self-conscious about the way you look. You are not measuring up to others. Alternatively, the dream is expressing your desires to be more sexual and/or sensual. The dream may also reflect your subconscious desires for bigger boobs."
Implosion,To see an implosion in your dream symbolizes controlled anger. You are not fully letting yourself go.
Imprint,To make an imprint in your dream means that you want to leave a lasting impression in some area of your life. It also refers to a memory or to something in the past that you are holding onto. Consider what kind of imprint is being made.
Imprisonment,To dream that you are imprisoned suggests that you are feeling trapped or unable to move beyond a certain point. Perhaps your outdated beliefs or old ways of thinking is preventing you from going forward.
Incest,"If this dream relates to real-life experiences with incest, then you need to seek professional advice or counseling."
Incredible Hulk,"To see or dream that you are the Incredible Hulk suggests that you need to better control your emotions, especially your anger. It also means that your subconscious feelings must be confronted and dealt with before it gets out of control and expresses itself in a violent manner. Alternatively, the dream implies that you need to exhibit more self-confidence."
Incubator,"To see an incubator in your dream suggests that you need some stability and calmness in your life. Alternatively, it is symbolic of fresh and new ideas, growth, and development of the Self."
Indecision,"To dream that you are indecisive reflects your waking state of indecision. You are second guessing or over-thinking your choices. You are not sure which decision is right. Alternatively, dreams of indecision indicates that you are being pulled in opposite directions."
India,"To dream that you are in India depends on your own personal associations with the country. If you have never been to India, then the dream may represent your determination to rise above a situation and overcome life's difficulties. You want to defy expectations."
Indian,"To see an Indian in your dream represents the primitive and instinctual aspect of yourself.Â  You need to be in more control of your waking-life situations and surroundings.Â  You also need to be more self-reliant and exercise your personal power. Alternatively, this dream symbolizes honesty, dedication, and wisdom."
Indifferent,To dream that you are being indifferent suggests that you are trying to hide your true concerns. You do not want to let on that you care or that you really feel a certain way.
Infertile,To dream that you are infertile represents a lack of creativity. Something in your waking life is not working out the way you want it to. The dream may also reflect your own state of infertility and the struggles to have a baby.
Infestation,"To dream of an infestation points to problems and issues that you have ignored or avoided for too long. What may have started as minor has now become a huge problem. Alternatively, dreaming of an infestation represents an intrusion into your personal life. You feel that your privacy has been invaded."
Infinity,"To see the infinity symbol in your dream represents time and longevity. Alternatively, it symbolizes wealth or the number 8."
In-Law,"To see your in-law in your dream represents a working relationship which has many different possibilities. You need to be more understanding or yielding in some situation. The dream may also be a pun on being more careful, playing by the rules and abiding by the law."
Island,"To dream of Easter Island represents self-exploration and your connection with a higher power. More directly, the dream may be about your desire to travel back in time to an ancient civilization."
Jabberwock,To see the Jabberwock in your dream indicates that you lack focus. The dream may also point to insecurities about your physical abilities.
Jack,"To see or use a jack in your dream suggests that you are looking for balance in your life. The dream may also symbolize a person who is named ""Jack"" in your life."
Jack Frost,"To see Jack Frost in your dream represents someone who is cold or distant.Â  It may also refer to someone who can't take criticism. You don't know how to relate to this person. Alternatively, Jack Frost is symbolic of winter time and the memories that that time of the year brings."
Jackal,To see a jackal in your dream refers to manipulation. You have a tendency to feed off of others.
Jacket,"To see or wear a jacket in your dream represents the image that you want to present and project to the outside world. Alternatively, it symbolizes your protective and defensive persona. You tend to distant your feelings and as a result, you may isolate yourself. Consider also the color, appearance, and type of jacket for additional significance."
Jackfruit,"To see or eat jackfruit in your dream symbolizes fertility and abundance. Alternatively, a jackfruit represents luck. The larger the jackfruit, the greater the luck."
Jacuzzi,To dream that you are in a Jacuzzi suggests that you need to cleanse your emotions and rid yourself of all the negativity you are experiencing in your sex life.
Jade,"To see jade in your dream indicates growth, healing power, purity, harmony, luck, immortality, and truth. It refers to the shaping and development of your personality."
Jail,"To dream that you are in jail suggests that you are feeling restrained or censored in your work environment, relationship or situation in your life. You are feeling confined and suffocated. Alternatively, it represents self-punishment and guilt.Â You are involved in some wrongdoing."
Jailbreak,"To dream that you are breaking out of jail refers to your desire or need to escape from a restrictive situation or relationship. Alternatively, dreaming of a jailbreak means that you are refusing to accept the consequences of your actions."
Japan,"To dream about Japan or that you are in Japan depends on your own personal associations with the country. If you have never been to Japan, then the dream may represent some sort of realization enlightenment. As the land of the rising sun, Japan symbolizes peace of mind and tranquility."
Jar,"To see a jar in your dream symbolizes the feminine womb. You are seeking protection. The dream may also be a pun on feeling ""jarred"" or shaken up by something or someone."
Jaw,"To see the jaws of an animal in your dream indicate a misunderstanding. It may also mean that you are rushing into things. Alternatively, the dream suggests that someone or some situation is taking a large bite of your time, energy or some aspect of yourself."
Jay Leno,"To see Jay Leno in your dream suggests that you are looking for some comic relief. Best known as a talk show host, perhaps you are looking for someone to open up to and freely express the feelings that you are keeping inside. Alternatively, the dream may indicate that something important or significant is happening tonight."
Jazz,"To hear or play jazz music in your dream symbolizes excitement and/or creative freedom. You feel free to express yourself in a situation. This interpretation will also depend on whether you like or hate jazz music.Â  If you like jazz music, then the dream indicates a positive outcome. If you don't like jazz, then it implies that something is not going your way."
Jedi,To dream that you are a Jedi indicates that you are in tune with your spiritual powers. You need to believe in mind over matter. Or you need to trust in your own metal powers.
Jeep,"To see a jeep in your dream suggests that you need to adopt a more active lifestyle. You need to get out and start doing! Alternatively, the dream may be a pun on ""jeepin"", which is slang for having sex in the car.Â  Perhaps you need to add some excitement or non-conventionality to your sex life."
Jelly,"To see or eat jelly in your dream represents insight into a situation you have been wondering about. The dream may be a metaphor for something that is finally taking shape. You have come to some understanding. Alternatively, it indicates that you are preserving or maintaining a sweet relationship."
Jellyfish,"To see a jellyfish in your dream represents painful memories that is emerging from your subconscious. There may be hidden hostility or aggression in some aspect of your waking relationship or situation. Alternatively, a jellyfish indicates feelings of inadequacy, uncertainty and a lack of self-esteem. Perhaps there is some situation in which you are unable to assert yourself."
Jerk,To feel a sudden jerk or twitch in your dream may be an actual physical contraction of your muscles usually occurring just as you are fall asleep. The jerk feels like you are falling and often causes you to wake up.
Jester,"To see a jester in your dream indicates that trivial matters and silly pastimes will divert your attention from more important issues. Alternatively, a jester represents embarrassment in some situation."
Jesus,"To see Jesus in your dream foretells that your greatest desires and goals will be realized. This dream serves to console and strengthen you in your times of adversity, hardship and struggle. You will rise above a difficult situation or circumstance and become victorious."
Jet Fuel,"If your dream involved jet fuel, then it refers to your high and upbeat energy level. You need to always be on the move."
Jet Ski,"To see or dream that you are on a jet ski represents a journey of self-discovery. You are confronting and exploring aspects of your subconscious in full force. Alternatively, the dream relates to some sexual adventure or relationship."
Jetty,To dream that you are on a jetty means that you are delving into your emotions. You are exploring your subconscious.
Jewelry,"To see jewelry in your dream signifies status and your own sense of self worth and personal value. It is also symbolic of knowledge, identity, or whatever qualities you hold precious in your life.Â Jewelry highlights the importance of spiritual and psychological riches. If you dream of a specific piece of jewelry that you own, then it symbolizes aspects of a waking relationship."
Jewelry Box,"To see a jewelry box in your dream representsÂ  your sense of self-worth, self-value, and potential. You need to unleash your stored potential and quit keeping it hidden."
Jitterbug,"To dance the jitterbug in your dream refers to your positive, upbeat and enthusiastic attitude. Perhaps you need to let loose and relax. Alternatively, the dream may be a metaphor that you are nervous or anxious about something."
Job,"To dream that you are looking for a job suggests that you are feeling unfulfilled and frustrated in a current phase of your life. If you are applying for several jobs in your dream, then it suggests that you need a clear direction and focused goal."
Joint,To feel or notice your joints in your dream represent flexibility. It refers to a give and take situation and the need to work together as a team.
Joker,To see the joker card in your dream indicates endless possibilities. You can be anything you want if you set your mind to it.
Journal,"To write or read a journal in your dream suggests that you are trying to change or rewrite the past in order to suit your own needs. Consider what is written in the journal and how it is similar or dissimilar to actual events in your waking life. Alternatively, the dream symbolizes some memory or event."
Julius Caesar,To see Julius Caesar in your dream points to your own drive and leadership abilities. Perhaps your ego is getting to big and you need to show more humility.
Jumbotron,"To watch something on a jumbotron in your dream points to some detail that you may be missing or overlooking. Alternatively, seeing a jumbotron indicates that you want to be part of the action or excitement."
Jumping,"To dream that you are jumping indicates that you need to take a risk and go for it. You will overcome your obstacles and find progress toward your goals.Â  Consider the metaphors ""jumping for joy"" to mean thrill and excitement or ""jumping the gun"" to mean impatience or impulsiveness. The way you feel in the dream will provide additional significance and meaning to your dream."
Jumping Jacks,To dream that you are doing jumping jacks signifies your need for more balance in your life. You need to do more methodical in how you pursue your goals.
Jumpsuit,"To dream that you are wearing a jumpsuit indicates that you are feeling stuck in your own identity; you are losing control of who you are. In particular, if you are wearing a racing jumpsuit, then it suggests that you are too busy trying to keep up with your fast pace life. You need to stop and reflect on what you are doing. If you dream that you are wearing a skydiving jumpsuit, then it means that you are lacking control of where you life is going. You may be dealing with issues of substance abuse. Dreaming of wearing a prison jumpsuit implies you feel trapped in some relationship or situation."
Jungle,"To dream that you are in a jungle signifies aspects of yourself and your personality that may be inhibited. You may be experiencing some chaos and unpredictable circumstances in your waking life. Consider the phrase ""it's a jungle out there!"""
Junkyard,"To dream that you in a junkyard represents fear, frustration, and anger which you have repressed and kept inside.Â  It may also symbolizes your discarded attitudes, old habits, and former beliefs."
Kali,"To see the Hindu goddess, Kali in your dream symbolizes the protective mother. For Hindus, the symbol may have deeper significance."
Karaoke,"To dream that you are taking part in karaoke suggests that you are too overly confident in your abilities. Alternatively, you may not be utilizing your talents to its fullest potential."
Karate,To dream that you are doing karate suggests that you need to direct your energy and concentrate them toward your goals.
Kerosene,"To see or use kerosene in your dream symbolizes vigor, vitality and power. You are experiencing a burst of energy. It also suggests that a new idea is coming to fruition."
Key,"To see a key in your dream symbolizes opportunities, access, control, secrets, freedom, knowledge or responsibilities. You may be locking away your own inner feelings and emotions.Â Or you are unlocking the answer to some problem. To see a ring of keys represents status, authority, and power. It also highlights your adaptability to a situation. In particular, if you see a skeleton key, then it refers to old emotions or memories that you have stored or locked away. If the key is gold, then it suggests that influence, power and wealth will give you access to almost anything you want."
Khakis,"To wear khakis in your dream suggest that there is something that you are not seeing clearly on. Or that something may not be what it seems. Alternatively, the dream refers to your desires to conform and fit in."
Kick,To dream that you are kicking someone represents suppressed aggression that you are unable to express in your waking life.
Kick Scooter,To     see or ride on a kick scooter in your dream implies that you are trying to     balance various areas of your life. The dream also means that you need to be     decisive in what you are doing.
Kidnap,"To dream that you are being kidnapped denotes feelings of being trapped and restricted. Someone or some situation may be diverting your concentration and your attention away from your goals. In particular, to dream that you are kidnapped by your ex-boyfriend suggests that your ex still has some sort of emotional hold on you."
Killer,"To see a killer in your dream suggests that an essential aspect of your emotions have been cut off. You feel that you are losing your identity and your individuality. Alternatively, this dream may represent purification and the healing process. You are standing up for yourself and putting a dramatic end to something."
Killing,"To dream that you kill someone indicates that you are on the verge of losing your temper and self-control.Â  Consider the person you have killed and ask yourself if you feel any rage towards her or him in your waking life. Your dream may be expressing some hidden anger. Alternatively, you may be trying to kill an aspect of yourself that is represented by the person killed. Identify the characteristics of this person and ask yourself which of these qualities you are trying to put an end to."
Kimono,"To see or wear a kimono in your dream symbolizes Japan. You are expressing some connection to the country. A kimono also represents elegance, beauty, and docility."
Kindergarten,To dream that you are in kindergarten suggests that you are going through a transitional phase in your life. The dream may also represent some unresolved feelings of anxiety or separation.
King,"To see a king in your dream indicates that success and prestige are within reach. You will rise above your problems and adversities. The king is symbolic of power and control. Alternatively, the king symbolizes your father or some father figure. You are looking for support."
King Kong,"To see King Kong in your dream represents an imposing obstacle which is blocking your progress. If King Kong is chasing you, then you need to confront and overcome current difficulties before you can move forward with your life. Alternatively, King Kong symbolizes some primitive impulse and raw sexual energy."
Kiosk,"To see a kiosk in your dream signifies your openness and receptiveness toward some relationship. Alternatively, a kiosk suggests that you are looking for advice and for some direction in your life."
Kiss,"To dream of a kiss denotes love, affection, tranquility, harmony, and contentment.Â In particular, if you are dreaming of your first kiss, then it may just be the anticipation of experiencing your actual first kiss. This dream is also symbolic of young love and fresh romance. Perhaps the dream is telling you that you need to inject some more romance into your waking relationship. To see others kissing in your dream suggest that you are too involved in someone else's personal lives and relationship. You need to give them some space. If the dream ends just about as you are about to kiss someone, then it indicates that you are unsure of how he or she reallyÂ  feels about you. You are looking for some sort of relationship with this person but you are not sure about how to go about achieving it. If you are heterosexual and you dream that you are kissing someone of the same sex, then it represents self-acceptance. You are acknowledging the feminine or masculine side.Â To dream that you are kissing yourself also represents self-acceptance, as well as self-love. You need to accept and love who you are, even your flaws or shortcomings."
Kitchen,"To see a kitchen in your dream signifies your need for warmth, spiritual nourishment and/or some emotional healing. It may also symbolize the nurturing mother and how you are there for your loved ones. Alternatively, the kitchen represents a transformation; something new or life altering is about to occur. The dream could also be telling you that if ""you can't stand the heat, then you need to get out of the kitchen"". In other words, it is time to abort your plans."
Kitten,"To see a kitten in your dream represents a transitional phase toward independence. You are ready to explore new things that life has to offer. Alternatively, the dream symbolizes innocence and purity."
Knapsack,"To see or carry a knapsack in your dream represents your hopes, desires, and secrets. It may also be symbolic of the knowledge you have acquired over the years. Alternatively, a knapsack signifies the emotional baggage and responsibilities that you are carrying around and weighing you down."
Knife,"To dream that you are carrying a knife signifies anger, aggression and/or separation. There may be something in your life that you need to cut out and get rid of.Â  Perhaps you need to cut ties or sever some relationship. Be more divisive. Alternatively, a knife refers to some sexual tension or sexual confrontation."
Knitting,"To dream that you are knitting signifies a quiet, peaceful and loving home life. It may also refer to someone in your life (past or present) who you associate with knitting. Alternatively, knitting symbolizes your creativity or accomplishments. You need to take time out from your regular routine."
Knocker,"To see or use a knocker in your dream symbolizes opportunities and welcomed expectations. You are seeking for assistance and spiritual guidance. On a negative note, to see a knocker in your dream signifies repressed thoughts, death, and dreaded expectations.Â It is a bad omen."
Knocking,"To hear knocking in your dreams suggests that your subconscious is trying to attract your attention to some aspect of yourself or to some waking situation. A new opportunity may be presented to you. Alternatively, the dream may be a pun that you are ""knocking"" on or insulting something or someone. Or perhaps there is a habit or behavior that you to stop or ""knock it off""."
Koala,"To see a koala in your dream represents your link the physical world, the subconscious, and the spiritual realm. The koala also symbolizes security, nurturance, protection, and/or feminine qualities. You may be expressing a desire to regress back into infantile dependence and escape from your daily responsibilities/problems."
Koi Fish,"To see a koi fish in your dream indicates that you need to put aside your pride and ego and not let it get in the way of friendships and relationships. Alternatively, the koi fish is symbolic of patience, perseverance, determination, ambition, tenacity, courage and success. The koi serves as a reminder that you will overcome life's obstacles and adversities."
Komodo Dragon,"To see a komodo dragon in your dream means that you need to be more flexible in your thinking or decision making. Your agility and stealth will get you what you want. You also need to take advantage of the opportunities presented to you. Alternatively, a komodo dragon symbolizes genuine fear."
Kookaburra,To see a kookaburra in your dream means that you are not taking things seriously enough.
Kraken,To see the Kraken in your dream indicates that all that anger you have suppressed is coming to the surface in a violent way. You are emotionally overwhelmed.
Kumquats,To see kumquats in your dream symbolize luck and prosperity.
Lab Coat,"To see or wear a lab coat in your dream symbolizes your protective nature. Alternatively, the dream implies your desire to sanitize a situation. Perhaps you are even trying to cover it up. "
Label," To dream that you are labeling something represents your need for organization and order. Alternatively, it may also indicates that you are too quick to label something and pigeonhole it.Â Perhaps you are the one being labeled. To see or read labels in your dream indicate that you have unknowingly exposed certain private matters, due to your carelessness and neglect. To dream that something is mislabeled indicates that you are looking at things the wrong way. Try another perspective. To dream that a label is missing on something indicates that you are feeling lost. You are in need of some direction. "
Labor,To dream that you are laboring suggests that your goals will take a lot of hard work to accomplish.
Laboratory ,"To dream that you are in a laboratory suggests that you are experimenting with your inner feelings, beliefs, or fears. You are testing yourself or some relationship. Alternatively, being in a laboratory means you are going through some sort of transformation."
Labrador,"To see a Labrador in your dream is a sign that you are on the right path. The Labrador may also be sending you a message of loyalty, commitment and unconditional love. Perhaps these are things that you need to build or work on in your waking relationships."
Labyrinth," To see or dream that you are in a labyrinth indicates your desires to get to the center of some issue or problem. Alternatively, it suggests that you are feeling trapped in some situation. You feel lost and that there is no way out. "
Lace," To see lace in your dream points to your sensuality and femininity.Â  Alternatively, it denotes tradition and old fashioned ideals. Perhaps you are being overly practical in some area of your life."
Lacrosse," To watch or play lacrosse in your dream symbolizes teamwork and cooperation. You can achieve your goals through hard work and dedication. Alternatively, the dream is a metaphor for the game of sex. Your behavior and game play represents your attitudes toward sex. "
Lactating,"To dream that you are lactating refers to your strong maternal bond and instincts. If you are leaking or squirting milk, then it implies your enthusiasm or desire to be a mother. Referred to as ""letdown"", the dream may also be a metaphor that someone is letting you down."
